lap_id,source_file,track_id,bike_id,lap_index,lap_number,sample_count,max_distance_m,max_lap_time_s,invalid_flag_max,valid_bin_rate,max_throttle,max_front_brake,max_rear_brake,max_rpm,max_rear_slip,mean_rear_slip,max_front_brake_temp,max_rear_brake_temp,max_front_tyre_wear,max_rear_tyre_wear,distance_coverage_pct,is_complete_lap,is_valid_lap,is_usable_lap
CSV_-_LAP_39.40_segment_1,CSV - LAP 39.40.csv,Sachsenring,Kalex_Moto2,1.0,1.0,3668,3666.03,83.361,0.0,1.0,1.0,1.0,0.1,15833.9,0.199837,0.04884683486041439,454.384,21.9989,0.0,0.0,99.95637509781521,True,True,True
CSV_-_LAP_36_segment_0,CSV - LAP 36.csv,Sachsenring,Kalex_Moto2,0.0,0.0,3668,3667.17,83.3964,0.0,1.0,1.0,1.0,0.1,15728.1,0.200511,0.04851901360632497,423.065,21.9979,0.0,0.0,99.98745784062187,True,True,True
CSV_-_LAP_37_38_segment_0,"CSV - LAP 37,38.csv",Sachsenring,Kalex_Moto2,0.0,0.0,3668,3667.17,83.3964,0.0,1.0,1.0,1.0,0.1,15728.1,0.200511,0.04851901360632497,423.065,21.9979,0.0,0.0,99.98745784062187,True,True,True
CSV_-_LAP_37_38_segment_1,"CSV - LAP 37,38.csv",Sachsenring,Kalex_Moto2,1.0,1.0,3668,3667.36,83.4523,0.0,1.0,1.0,1.0,0.1,15832.2,0.231328,0.048046162531052344,430.812,21.9989,0.0,0.0,99.99263829775632,True,True,True
CSV_-_LAP_24_segment_0,CSV - LAP 24.csv,Sachsenring,Kalex_Moto2,0.0,0.0,3668,3666.79,83.6187,0.0,1.0,1.0,1.0,0.1,15780.2,0.202622,0.05052309325517994,391.738,24.9945,0.0,0.0,99.97709692635298,True,True,True
CSV_-_LAP_25_segment_0,CSV - LAP 25.csv,Sachsenring,Kalex_Moto2,0.0,0.0,3668,3666.38,83.7876,0.0,1.0,1.0,1.0,0.1,15826.4,0.190573,0.05221673812071974,444.648,24.9945,0.0,0.0,99.96591804516814,True,True,True
CSV_-_LAP_39.40_segment_0,CSV - LAP 39.40.csv,Sachsenring,Kalex_Moto2,0.0,0.0,3668,3666.56,83.8188,0.0,1.0,1.0,1.0,0.1,15839.4,0.198973,0.04743108155098146,412.525,21.998,0.0,0.0,99.97082584666391,True,True,True
CSV_-_LAP_22_segment_0,CSV - LAP 22.csv,Sachsenring,Kalex_Moto2,0.0,0.0,3668,3667.05,83.8672,0.0,1.0,1.0,1.0,0.1,15570.2,0.193602,0.04768681836123228,426.113,24.9948,0.0,0.0,99.98418597295802,True,True,True
CSV_-_LAP_14_segment_0,CSV - LAP 14.csv,Sachsenring,Kalex_Moto2,0.0,0.0,3668,3666.61,83.8965,0.0,1.0,1.0,1.0,0.1,15865.0,0.205253,0.05078713425580698,406.437,24.9945,0.0,0.0,99.97218912485721,True,True,True
CSV_-_LAP_15_16_segment_1,"CSV - LAP 15,16.csv",Sachsenring,Kalex_Moto2,1.0,1.0,3668,3666.64,83.9004,0.0,1.0,1.0,1.0,0.1,15729.1,0.221523,0.0513516873478735,449.107,24.999,0.0,0.0,99.97300709177316,True,True,True
CSV_-_LAP_20_segment_0,CSV - LAP 20.csv,Sachsenring,Kalex_Moto2,0.0,0.0,3668,3666.63,83.9619,0.0,1.0,1.0,1.0,0.1,15572.8,0.193883,0.046381652046074154,414.421,24.9947,0.0,0.0,99.9727344361345,True,True,True
CSV_-_LAP_17_18_19_segment_1,"CSV - LAP 17,18,19.csv",Sachsenring,Kalex_Moto2,1.0,1.0,3668,3666.58,84.0557,0.0,1.0,1.0,1.0,0.1,15729.2,0.222985,0.047105646537622684,430.184,24.999,0.0,0.0,99.97137115794122,True,True,True
CSV_-_LAP_35_segment_0,CSV - LAP 35.csv,Sachsenring,Kalex_Moto2,0.0,0.0,3668,3667.29,84.0724,0.0,1.0,1.0,1.0,0.1,15788.1,0.208395,0.04433998319378408,384.72,21.998,0.0,0.0,99.99072970828573,True,True,True
CSV_-_LAP_7_8_9_segment_0,"CSV - LAP 7,8,9.csv",Sachsenring,Kalex_Moto2,0.0,0.0,3668,3666.05,84.0903,0.0,1.0,1.0,1.0,0.1,15860.9,0.196277,0.04371811358178844,410.145,24.9947,0.0,0.0,99.95692040909252,True,True,True
